BirdID,TripID,Displacement,Length,Duration,NumDives,AverageMaxDiveDepth,MaxDiveDepth,AverageDiveDuration,MaxDiveDuration,TotalDurationDives,Year,Sex,Weight
4.00000000,1.00000000,235.42692148,625.06795744,92257.00000000,13.00000000,7.80082901,17.71247057,11.16153846,31.50000000,145.10000000,2010.00000000,0.00000000,NaN
4.00000000,2.00000000,259.69690828,737.36302530,105853.00000000,15.00000000,5.85045180,8.66758779,6.80666667,21.50000000,102.10000000,2010.00000000,0.00000000,NaN
4.00000000,3.00000000,120.11126687,290.19766244,32419.00000000,0.00000000,NaN,NaN,NaN,NaN,0.00000000,2010.00000000,0.00000000,NaN
4.00000000,4.00000000,227.10731315,1103.56263556,175718.00000000,18.00000000,5.75573150,11.40042723,4.98888889,17.90000000,89.80000000,2010.00000000,0.00000000,NaN
6.00000000,1.00000000,46.83234926,102.39404969,19496.00000000,0.00000000,NaN,NaN,NaN,NaN,0.00000000,2010.00000000,1.00000000,NaN
6.00000000,2.00000000,85.72887623,232.95032677,67274.00000000,5.00000000,6.79130996,16.37664233,12.38000000,35.90000000,61.90000000,2010.00000000,1.00000000,NaN
6.00000000,3.00000000,113.46463863,422.32531619,83726.00000000,38.00000000,4.22994385,7.19919644,3.05789474,18.70000000,116.20000000,2010.00000000,1.00000000,NaN
6.00000000,4.00000000,185.51649599,581.89394726,101768.00000000,19.00000000,6.43870283,13.43985965,9.14210526,32.70000000,173.70000000,2010.00000000,1.00000000,NaN
9.00000000,1.00000000,152.84378599,483.96470235,78497.00000000,35.00000000,8.53356794,18.98711583,15.21428571,37.50000000,532.50000000,2010.00000000,0.00000000,NaN
9.00000000,2.00000000,146.66615869,405.87015018,74272.00000000,35.00000000,4.77052378,14.59213897,4.80285714,31.10000000,168.10000000,2010.00000000,0.00000000,NaN
9.00000000,3.00000000,167.22820096,989.87000343,177443.00000000,71.00000000,5.00896092,13.06256465,5.52816901,27.10000000,392.50000000,2010.00000000,0.00000000,NaN
10.00000000,1.00000000,86.64650258,317.92077760,74352.00000000,35.00000000,6.41284957,20.83280217,6.57428571,29.90000000,230.10000000,2010.00000000,0.00000000,NaN
10.00000000,2.00000000,82.92740076,323.63530456,64270.00000000,20.00000000,5.39735790,11.91028533,3.66000000,16.70000000,73.20000000,2010.00000000,0.00000000,NaN
10.00000000,3.00000000,196.99104001,776.32524406,162835.00000000,114.00000000,5.86900348,19.81308596,6.28947368,29.90000000,717.00000000,2010.00000000,0.00000000,NaN
11.00000000,1.00000000,266.89638755,626.97821465,92072.00000000,1.00000000,5.22094700,5.22094700,4.30000000,4.30000000,4.30000000,2010.00000000,NaN,NaN
11.00000000,2.00000000,517.13270899,1388.84795968,222152.00000000,24.00000000,4.84152759,7.64787158,4.63333333,10.30000000,111.20000000,2010.00000000,NaN,NaN
11.00000000,3.00000000,359.64280396,949.13806022,180463.00000000,5.00000000,6.24270264,10.00341602,7.26000000,17.10000000,36.30000000,2010.00000000,NaN,NaN
11.00000000,4.00000000,172.75598586,528.84047619,153703.00000000,133.00000000,5.35519685,8.15772968,3.64736842,9.90000000,485.10000000,2010.00000000,NaN,NaN
11.00000000,5.00000000,110.31311899,266.10979669,57827.00000000,7.00000000,4.57561231,6.17948023,3.04285714,6.30000000,21.30000000,2010.00000000,NaN,NaN
11.00000000,6.00000000,161.85378475,284.14928557,77951.00000000,37.00000000,4.57384060,7.06663334,2.88378378,7.10000000,106.70000000,2010.00000000,NaN,NaN
13.00000000,1.00000000,135.50681632,389.19585026,73433.00000000,14.00000000,4.24711801,6.04691713,1.81428571,3.10000000,25.40000000,2010.00000000,1.00000000,NaN
13.00000000,2.00000000,204.18683622,489.34987491,77049.00000000,10.00000000,4.88444065,10.96194926,4.06000000,23.50000000,40.60000000,2010.00000000,1.00000000,NaN
13.00000000,3.00000000,209.41064626,562.05843943,82232.00000000,23.00000000,4.29788215,8.47384171,2.70000000,15.50000000,62.10000000,2010.00000000,1.00000000,NaN
15.00000000,1.00000000,79.31110466,260.19694742,69724.00000000,3.00000000,5.11217727,6.04691713,8.96666667,16.70000000,26.90000000,2010.00000000,1.00000000,NaN
15.00000000,2.00000000,109.08725826,336.55048101,68010.00000000,11.00000000,3.66912433,4.33379389,1.53636364,4.30000000,16.90000000,2010.00000000,1.00000000,NaN
15.00000000,3.00000000,42.03156398,105.79715153,18833.00000000,3.00000000,5.07478767,6.37322631,2.96666667,4.30000000,8.90000000,2010.00000000,1.00000000,NaN
15.00000000,4.00000000,98.38153103,448.05193586,102955.00000000,65.00000000,4.45035530,7.32156239,3.04461538,7.50000000,197.90000000,2010.00000000,1.00000000,NaN
