TripMaxDisplacement,TripDuration,TripLength,NoDivesPerformed,DiveDurationUnderwater,Sex,Trip,BirdID
176.9231690100,108931.0000000000,754.8043197400,36.0000000000,160.8000000000,1.0000000000,1.0000000000,290.0000000000
106.0280088000,76334.0000000000,364.2704799400,29.0000000000,83.1000000000,1.0000000000,2.0000000000,290.0000000000
197.5234536000,101193.0000000000,568.6636755900,42.0000000000,178.2000000000,1.0000000000,1.0000000000,297.0000000000
137.6403659700,90114.0000000000,418.4370097400,55.0000000000,128.5000000000,1.0000000000,2.0000000000,297.0000000000
268.3492479000,98925.0000000000,731.6390821600,39.0000000000,252.9000000000,1.0000000000,1.0000000000,298.0000000000
190.0075382100,104843.0000000000,704.5424737500,92.0000000000,407.2000000000,1.0000000000,1.0000000000,299.0000000000
188.6776781500,101735.0000000000,598.9978583200,81.0000000000,313.9000000000,1.0000000000,2.0000000000,299.0000000000
125.3590356000,78862.0000000000,408.3412685700,27.0000000000,48.5000000000,0.0000000000,1.0000000000,997.0000000000
46.4801553500,17931.0000000000,120.4734574500,0.0000000000,0.0000000000,1.0000000000,1.0000000000,998.0000000000
55.3795721600,14593.0000000000,132.9790736300,5.0000000000,7.9000000000,1.0000000000,2.0000000000,998.0000000000
90.3100543400,57933.0000000000,252.7464704100,9.0000000000,15.1000000000,0.0000000000,1.0000000000,999.0000000000
