long,lat,order,hole,piece,id,group,percent,h
-73385.36788194059,-207206.57154463645,1,FALSE,1,homerange,homerange.1,25,10000
-73635.87548223391,-206728.75898418785,2,FALSE,1,homerange,homerange.1,25,10000
-73888.03494509679,-205728.75898418785,3,FALSE,1,homerange,homerange.1,25,10000
-73877.40239963608,-204728.75898418785,4,FALSE,1,homerange,homerange.1,25,10000
-73691.92716939813,-203728.75898418785,5,FALSE,1,homerange,homerange.1,25,10000
-73385.36788194059,-202812.60465615487,6,FALSE,1,homerange,homerange.1,25,10000
-73359.3760583024,-202728.75898418785,7,FALSE,1,homerange,homerange.1,25,10000
-72899.62459558311,-201728.75898418785,8,FALSE,1,homerange,homerange.1,25,10000
-72385.36788194059,-200846.184486679,9,FALSE,1,homerange,homerange.1,25,10000
-72314.51937291991,-200728.75898418785,10,FALSE,1,homerange,homerange.1,25,10000
-71617.72619748994,-199728.75898418785,11,FALSE,1,homerange,homerange.1,25,10000
-71385.36788194059,-199446.2566910031,12,FALSE,1,homerange,homerange.1,25,10000
-70803.66121517202,-198728.75898418785,13,FALSE,1,homerange,homerange.1,25,10000
-70385.36788194059,-198268.05577151294,14,FALSE,1,homerange,homerange.1,25,10000
-69859.0219094971,-197728.75898418785,15,FALSE,1,homerange,homerange.1,25,10000
-69385.36788194059,-197283.61958848755,16,FALSE,1,homerange,homerange.1,25,10000
-68773.62659020256,-196728.75898418785,17,FALSE,1,homerange,homerange.1,25,10000
-68385.36788194059,-196372.6412700227,18,FALSE,1,homerange,homerange.1,25,10000
-67561.5586231588,-195728.75898418785,19,FALSE,1,homerange,homerange.1,25,10000
-67385.36788194059,-195590.0588988128,20,FALSE,1,homerange,homerange.1,25,10000
-66385.36788194059,-194840.36694478765,21,FALSE,1,homerange,homerange.1,25,10000
-66224.19507573874,-194728.75898418785,22,FALSE,1,homerange,homerange.1,25,10000
-65385.36788194059,-194123.86474656028,23,FALSE,1,homerange,homerange.1,25,10000
-64801.72292878799,-193728.75898418785,24,FALSE,1,homerange,homerange.1,25,10000
-64385.36788194059,-193411.40537041737,25,FALSE,1,homerange,homerange.1,25,10000
-63443.12933695002,-192728.75898418785,26,FALSE,1,homerange,homerange.1,25,10000
-63385.36788194059,-192676.93996237882,27,FALSE,1,homerange,homerange.1,25,10000
-62385.36788194059,-191854.81007678725,28,FALSE,1,homerange,homerange.1,25,10000
-62231.436185783525,-191728.75898418785,29,FALSE,1,homerange,homerange.1,25,10000
-61385.36788194059,-190869.98741832006,30,FALSE,1,homerange,homerange.1,25,10000
-61245.56389808782,-190728.75898418785,31,FALSE,1,homerange,homerange.1,25,10000
-60471.29110529717,-189728.75898418785,32,FALSE,1,homerange,homerange.1,25,10000
-60385.36788194059,-189560.0313796734,33,FALSE,1,homerange,homerange.1,25,10000
