BirdID,Trip,Date,Year,Time,DateTime,UniqueID,TagType,Sex,Duration,MaxDepth,DiveShape,ActiveSwimTime,Fdens,Fdist,Fside,Gdens,Log_hu3,VertDif_WaterTemp,Zeta,CurrentSpeed,Bathy,WindSpeed,DateTime2,diveshpchr,sexchr,bird_trip_year,Sttime,Entime,trip_dur,distmax,disttime,distdifftime,distlon,distlat,TripMaxDisplacement,TripDuration,TripLength,NoDivesPerformed,DiveDurationUnderwater,difftime,ppn_trip,total_dives,ndives,ppn_dives,nprevdives,ppn_prevdives,distance,leg,distaldistance,x,y,distaldistance2,diststandard,diffsttime,diffentime,ppn_distance,hour
299,2,29/07/2013,2013,19:02:04,41484.7931018519,2821,CEFAS,1,4.7,7.2603794152,0,0.9,0,NA,NA,0,11.4151931295,1.14944932441,-0.102619685233,0.078402422777,43.80889892578,7.6690112030021,2013-07-29T19:02:04Z,V,Female,299_2_2013,2013-07-29T09:23:00Z,2013-07-30T13:38:00Z,1695,188923.947449857,2013-07-30T08:16:00Z,1373,-5.52312369741069,50.0173379073741,188.67767815,101735,598.99785832,81,313.9,579.066666666667,0.34163225172074735,81,71,0.8765432098765432,70,0.8641975308641975,185445.27646611337,Outbound,3494.54556158592,-5.52674199978,50.048679,-3494.54556158592,-793.933333333333,-1373,322,0.9815869240998847,19
299,2,29/07/2013,2013,19:12:23,41484.8002673611,2822,CEFAS,1,3.9,7.9028006275,0,0,4e-4,NA,NA,0.00572,10.091974252,1.05136205795,-0.106363944709,0.106872953962,29.58396720886,7.444163291159,2013-07-29T19:12:23Z,V,Female,299_2_2013,2013-07-29T09:23:00Z,2013-07-30T13:38:00Z,1695,188923.947449857,2013-07-30T08:16:00Z,1373,-5.52312369741069,50.0173379073741,188.67767815,101735,598.99785832,81,313.9,589.383333333333,0.3477187807276303,81,72,0.8888888888888888,71,0.8765432098765432,183034.04547914673,Outbound,5893.80655720924,-5.52439209247,50.0703358405,-5893.80655720924,-783.616666666667,-1373,322,0.9688239524411085,19
299,2,29/07/2013,2013,19:15:09,41484.8021886574,2823,CEFAS,1,3.5,6.2406632052,0,0,4e-4,NA,NA,0.00572,10.3550409381,1.15605259834,-0.105983681977,0.100789315994,32.27076721191,7.3945041133064,2013-07-29T19:15:09Z,V,Female,299_2_2013,2013-07-29T09:23:00Z,2013-07-30T13:38:00Z,1695,188923.947449857,2013-07-30T08:16:00Z,1373,-5.52312369741069,50.0173379073741,188.67767815,101735,598.99785832,81,313.9,592.15,0.34935103244837756,81,73,0.9012345679012346,72,0.8888888888888888,182407.952291586,Outbound,6529.63422550895,-5.51544764291,50.0758529729,-6529.63422550895,-780.85,-1373,322,0.9655099565395201,19
299,2,29/07/2013,2013,19:17:56,41484.8041215278,2824,CEFAS,1,4.3,8.2800956252,0,0.2,1e-4,NA,NA,0.00143,10.3550409381,1.15605259834,-0.105983681977,0.100789315994,32.27076721191,7.3945041133064,2013-07-29T19:17:56Z,V,Female,299_2_2013,2013-07-29T09:23:00Z,2013-07-30T13:38:00Z,1695,188923.947449857,2013-07-30T08:16:00Z,1373,-5.52312369741069,50.0173379073741,188.67767815,101735,598.99785832,81,313.9,594.933333333333,0.3509931170108161,81,74,0.9135802469135802,73,0.9012345679012346,182287.57906219308,Outbound,6662.93991863066,-5.51303879082,50.0769080854,-6662.93991863066,-778.066666666667,-1373,322,0.9648728047595697,19
299,2,29/07/2013,2013,19:21:15,41484.8064340278,2825,CEFAS,1,5.1,8.2800956252,0,0.2,4e-4,NA,NA,0.00572,10.2884866825,1.17897891559,-0.105740584433,0.103881411262,33.05506515503,7.4170935152829,2013-07-29T19:21:15Z,V,Female,299_2_2013,2013-07-29T09:23:00Z,2013-07-30T13:38:00Z,1695,188923.947449857,2013-07-30T08:16:00Z,1373,-5.52312369741069,50.0173379073741,188.67767815,101735,598.99785832,81,313.9,598.25,0.35294985250737465,81,75,0.9259259259259259,74,0.9135802469135802,182531.90656732023,Outbound,6397.26879762241,-5.51772945688,50.0747654574,-6397.26879762241,-774.75,-1373,322,0.9661660632819813,19
299,2,29/07/2013,2013,20:06:17,41484.8376979166,2826,CEFAS,1,3.5,5.09858105,0,0.8,0,NA,NA,0,10.4180569915,1.26058866835,0.736133396626,0.098984733857,31.71346473694,6.261718998545,2013-07-29T20:06:17Z,V,Female,299_2_2013,2013-07-29T09:23:00Z,2013-07-30T13:38:00Z,1695,188923.947449857,2013-07-30T08:16:00Z,1373,-5.52312369741069,50.0173379073741,188.67767815,101735,598.99785832,81,313.9,643.283333333333,0.3795181907571288,81,76,0.9382716049382716,75,0.9259259259259259,181818.37092288682,Outbound,7217.00208712313,-5.50371948026,50.0810346225,-7217.00208712313,-729.716666666667,-1373,322,0.9623892226322653,20
299,2,29/07/2013,2013,20:09:08,41484.839677083306,2827,CEFAS,1,3.1,6.1794802326,0,0.9,0,NA,NA,0,10.4180569915,1.26058866835,0.736133396626,0.098984733857,31.71346473694,6.261718998545,2013-07-29T20:09:08Z,V,Female,299_2_2013,2013-07-29T09:23:00Z,2013-07-30T13:38:00Z,1695,188923.947449857,2013-07-30T08:16:00Z,1373,-5.52312369741069,50.0173379073741,188.67767815,101735,598.99785832,81,313.9,646.133333333333,0.38119960668633235,81,77,0.9506172839506173,76,0.9382716049382716,181679.51119402578,Outbound,7371.49141551853,-5.50231923734,50.082271262,-7371.49141551853,-726.866666666667,-1373,322,0.9616542193109003,20
299,2,30/07/2013,2013,09:15:37,41485.3858518518,2828,CEFAS,1,5.5,9.3609948078,0,0.3,5e-4,NA,NA,0.00715,8.1156857231,1.57183650066,0.847972869873,0.204582031918,27.80699920654,1.0330668715527,2013-07-30T09:15:37Z,V,Female,299_2_2013,2013-07-29T09:23:00Z,2013-07-30T13:38:00Z,1695,188923.947449857,2013-07-30T08:16:00Z,1373,-5.52312369741069,50.0173379073741,188.67767815,101735,598.99785832,81,313.9,1432.61666666667,0.8452015732546705,81,78,0.9629629629629629,77,0.9506172839506173,185935.05175681293,Inbound,4973.56777304177,-5.57746870411,50.0453011922,4973.56777304177,59.6166666666667,-1373,322,0.9841793709405878,9
299,2,30/07/2013,2013,09:20:44,41485.3894085648,2829,CEFAS,1,4.7,7.7090545476,0,1.4,5e-4,NA,NA,0.00715,8.8222842694,1.56232169088,0.84444975853,0.178402501564,37.67430114746,1.0593969014657,2013-07-30T09:20:44Z,V,Female,299_2_2013,2013-07-29T09:23:00Z,2013-07-30T13:38:00Z,1695,188923.947449857,2013-07-30T08:16:00Z,1373,-5.52312369741069,50.0173379073741,188.67767815,101735,598.99785832,81,313.9,1437.73333333333,0.848220255653884,81,79,0.9753086419753086,78,0.9629629629629629,185693.2715274177,Inbound,4422.57644872097,-5.5641150617,50.0471469055,4422.57644872097,64.7333333333333,-1373,322,0.982899595493066,9
299,2,30/07/2013,2013,09:35:54,41485.399931713,2830,CEFAS,1,5.5,7.647871575,0,1.5,5e-4,NA,NA,0.00715,6.9309491498,1.72875878299,0.967906653881,0.304074718802,27.80699920654,1.6970925424871,2013-07-30T09:35:54Z,V,Female,299_2_2013,2013-07-29T09:23:00Z,2013-07-30T13:38:00Z,1695,188923.947449857,2013-07-30T08:16:00Z,1373,-5.52312369741069,50.0173379073741,188.67767815,101735,598.99785832,81,313.9,1452.9,0.8571681415929204,81,80,0.9876543209876543,79,0.9753086419753086,186099.96900110098,Inbound,4763.91036204917,-5.57561362256,50.0437684586,4763.91036204917,79.9,-1373,322,0.9850523002145849,9
